Part,Qty,Specification,Price,Link
MCU,2,Seeed XIAO nRF52840,$26.18,https://mauser.pt/095-1482/seeed-102010448-microcontrolador-seeed-studio-xiao-nrf52840-c-bluetooth-5-0-ble-nfc-e-carregamento-de-bateria
Switches (pack of 10),4,Cherry ULP,$41.63,https://keeb.supply/products/cherry-mx-ulp?variant=a840d9fa-f4e0-4218-be04-4d0f5e8f7554
PCBs,5,"Reversible, MOQ 5",$11.06,https://jlcpcb.com
Batteries,2,Filament powder 1200,N/A,N/A
Diodes,36,SOD-123,$1.57,https://pt.aliexpress.com/item/1005012163356976.html
Power Switch,2,MK-12C02,$0.87,https://pt.aliexpress.com/item/1005011530988236.html
Reset Switch,2,EVQ-PUL02K,$1.87,https://pt.aliexpress.com/item/1005010726427079.html
LEDs,2,WS2812B,$1.14,https://pt.aliexpress.com/item/1005008739048100.html
Case,2,,$6.42,https://jlc3dp.com
Keycaps,36,Resin Printed,$37.46,https://jlc3dp.com
magnets,8,5x2mm round magnets,$2.88,https://pt.aliexpress.com/item/1005009605352565.html
Total,,,$131.08
