Designator,Mid X,Mid Y,Rotation,Layer
C1,193.10669,-61.864089,90.0,top
D1,109.171473,-84.503393,14.0,top
D10,188.522768,-90.128689,0.0,top
D11,117.396829,-117.493445,14.0,top
D12,133.853466,-104.69062,9.0,top
D13,151.658432,-96.002597,4.0,top
D14,170.522764,-103.00368,0.0,top
D15,188.52277,-107.128682,0.0,top
D16,151.248219,-124.840273,0.0,top
D17,169.830064,-125.186785,358.0,top
D18,188.18102,-126.00768,357.0,top
D19,188.680625,-62.746808,0.0,top
D2,128.534695,-71.109217,9.0,top
D3,149.286719,-62.085426,4.0,top
D4,170.52277,-69.003689,0.0,top
D5,188.522767,-73.128681,0.0,top
D6,113.284145,-100.998425,14.0,top
D7,131.194087,-87.899922,9.0,top
D8,150.472576,-79.044015,4.0,top
D9,170.522769,-86.003679,0.0,top
H1,129.856691,-60.398638,0.0,top
H2,198.20669,-62.76409,0.0,top
H3,199.356691,-134.50116,0.0,top
H4,101.10669,-134.501158,0.0,top
J1,173.272774,-58.628687,90.0,top
J2,173.272776,-61.378687,90.0,top
JP1,104.106903,-57.779094,180.0,bottom
JP2,104.106903,-57.779094,0.0,top
JP3,113.1239,-57.7791,180.0,top
JP4,113.1239,-57.7791,0.0,bottom
JP5,108.630625,-69.846809,180.0,bottom
JP6,108.630625,-69.846809,180.0,top
SW1,109.897242,-87.414286,14.0,top
SW10,188.522768,-93.128691,0.0,top
SW11,118.122587,-120.404334,14.0,top
SW12,134.322765,-107.653684,9.0,top
SW13,151.867697,-98.995294,4.0,top
SW14,170.522763,-106.003691,0.0,top
SW15,188.522769,-110.128689,0.0,top
SW16,151.248217,-127.840277,0.0,top
SW17,169.725357,-128.184963,358.0,top
SW18,188.024009,-129.003564,357.0,top
SW19,185.267244,-56.288287,90.0,top
SW2,129.004001,-74.072286,9.0,top
SW20,194.213393,-56.701798,0.0,top
SW3,149.495992,-65.078113,4.0,top
SW4,170.522761,-72.003683,0.0,top
SW5,188.522776,-76.128687,0.0,top
SW6,114.009913,-103.909312,14.0,top
SW7,131.663382,-90.862983,9.0,top
SW8,150.681844,-82.036708,4.0,top
SW9,170.522769,-89.00369,0.0,top
U2,108.630625,-65.346808,0.0,top
